category,field_name,field_type,description,example
archetype,archetype,string,Single archetype value,"Applied Ethicist"
background_context,wikipedia_enrichment.inferred_occupations,array,Array of wikipedia enrichment.inferred occupations values,["Professor", "Philosopher"]
background_context,wikipedia_enrichment.achievement_indicators,array,Array of wikipedia enrichment.achievement indicators values,["founded", "discovered"]
background_context,wikipedia_enrichment.influence_indicators,array,Array of wikipedia enrichment.influence indicators values,["influential", "acclaimed"]
background_context,experience_level,string,Single experience level value,"executive"
background_context,wikipedia_enrichment.education_indicators,array,Array of wikipedia enrichment.education indicators values,["university", "college"]
background_context,career_stage,string,Single career stage value,"Established"
background_context,educational_background,string,Single educational background value,"Self-taught"
background_context,typical_career_path,string,Single typical career path value,"early tech career, startup experience, platform de"
background_context,company_stage_preference,string,Single company stage preference value,"growth to scale"
background_context,success_metrics,array,Array of success metrics values,["user growth, artist success, platform revenue, mar", "revenue per acquisition"]
background_context,pain_points,array,Array of pain points values,["industry resistance, artist relations, regulatory ", "entrepreneurs making emotional decisions"]
background_context,notable_achievements,array,Array of notable achievements values,["NIH Director", "COVID-19 Response Leader"]
behavioral_growth,adaptation_patterns,array,How they adapt to changing circumstances;"[""rapid learning""; ""strategic pivots""]",["innovative solutions", "creative pivots"]
behavioral_growth,feedback_integration,string,How they incorporate feedback for improvement;"Actively seeks and implements feedback","Continuous learning and development focus"
behavioral_growth,resilience_indicators,string,Evidence of bouncing back from setbacks;"High resilience with learning focus","Continuous learning and development focus"
behavioral_patterns,work_style,string,Single work style value,"data-driven, user-focused, systematic, innovative,"
behavioral_patterns,problem_solving_approach,string,Single problem solving approach value,"user data analysis, market research, systematic ev"
behavioral_patterns,decision_making,string,Single decision making value,"collaborative, consensus-driven"
behavioral_patterns,learning_preferences,string,Single learning preferences value,"user analytics, market research, innovation case s"
behavioral_patterns,networking_style,string,Single networking style value,"industry-focused, innovation-driven, data-oriented"
behavioral_patterns,content_consumption,string,Single content consumption value,"user analytics, market research, innovation trends"
bias_awareness,decision_making_style,string,Approach to decision-making that acknowledges bias;"Systematic with bias checks","Systematic with bias checks"
bias_awareness,primary_biases,array,Common cognitive biases exhibited by this individual;"[""confirmation bias""; ""anchoring bias""]",["Systematic approach to decision-making with bias a", "optimism bias"]
bias_awareness,bias_mitigation_strategies,array,Methods used to overcome or work around biases;"[""peer review""; ""data validation""]",["Systematic approach to decision-making with bias a", "Systematic approach to decision-making with bias a"]
birth_year,birth_year,integer,birth year field,""
category,category,string,Single category value,"Philosophy"
cognitive_humanism,human_centered_thinking,string,Evidence of human-centered approach to problems;"Always considers human impact","Always considers human impact"
cognitive_humanism,ethical_framework,string,Personal ethical principles and values;"Strong integrity-based decision making","Strong integrity-based ethical framework"
cognitive_humanism,empathy_expression,string,How they demonstrate understanding of others;"High emotional intelligence in leadership","Customer-focused empathy and understanding"
collaboration,team_dynamics,string,How they function within team environments;"Natural facilitator who brings out the best in others","data-driven teams, user-focused collaboration, inn"
collaboration,conflict_resolution,string,Single conflict resolution value,"data-driven, user-focused, systematic evaluation, "
collaboration,leadership_style,string,Single leadership style value,"data-driven, user-focused, innovative, systematic,"
collaboration,mentorship_approach,string,How they develop and guide others;"Hands-on mentorship with increasing autonomy","data-driven thinking, user experience focus, innov"
collaboration,leadership_approach,string,Single leadership approach value,"rotating leadership, collective creativity"
collaboration_style,approach,array,Array of approach values,["philosophical discourse", "effective altruism"]
collaboration_style,preferences,array,Array of preferences values,["practical ethics", "effective altruism"]
collaboration_style,conflict_resolution,array,Array of conflict resolution values,["effective altruism analysis", "practical ethics reasoning"]
communication,audience_adaptation,string,Single audience adaptation value,"data-driven, user-focused, innovation-oriented, sy"
communication,persuasion_techniques,string,Single persuasion techniques value,"musical innovation, cultural relevance"
communication,media_preferences,string,Single media preferences value,"data presentations, user analytics, innovation dis"
communication,influence_strategies,string,Single influence strategies value,"user data, market analysis, innovation examples, s"
communication,message_clarity,string,Single message clarity value,"evidence-based explanations, accessible complexity"
communication_style,vocabulary_patterns,array,Array of vocabulary patterns values,["effective altruism", "animal rights"]
communication_style,tone,array,Array of tone values,["utilitarian", "practical"]
communication_style,sentence_structure,string,Single sentence structure value,"data-driven, user-focused, innovative, systematic,"
communication_style,rhetorical_strategies,array,Array of rhetorical strategies values,["effective altruism advocacy", "animal rights demonstration"]
communication_style,formality_level,string,Single formality level value,"Casual"
communication_style,audience_adaptation,string,Single audience adaptation value,"mass appeal, generational connection"
communication_style,persuasion_methods,array,Array of persuasion methods values,["user data, market analysis, innovation examples, s", "social proof through numbers"]
communication_style,content_preferences,string,Single content preferences value,"user analytics, market research, innovation case s"
communication_style,typical_phrases,array,Array of typical phrases values,["Data shows, User experience first, We need to thin", "make more offers"]
communication_style,rhetorical_devices,array,Array of rhetorical devices values,["research examples", "experimental evidence"]
cultural_context,cultural_background,string,Single cultural background value,"swedish, tech-industry, startup-culture, innovatio"
cultural_context,societal_influence,string,Single societal influence value,"cultural revolution, youth movement, musical innov"
cultural_context,geographic_influence,string,Single geographic influence value,"stockholm, silicon-valley, global-tech-community, "
cultural_context,generational_perspective,string,Single generational perspective value,"millennial, tech-native, platform-era, innovation-"
cultural_context,influences,array,Array of influences values,["cognitive psychology", "economic theory"]
death_year,death_year,integer,death year field,""
description,description,string,Single description value,"Australian philosopher known for his work in appli"
domain,domain,string,Single domain value,"Philosophy"
domain_expertise,core_competencies,array,Array of core competencies values,["music streaming, platform development, user experi", "business acquisition"]
domain_expertise,specialized_knowledge,array,Array of specialized knowledge values,["psychedelic rock, studio techniques, cultural revo", "assembly line production, automotive manufacturing"]
domain_expertise,tools_and_platforms,array,Array of tools and platforms values,["Spotify platform, data analytics, user research, m", "YouTube"]
domain_expertise,mental_models,array,Array of mental models values,["platform economics, user-centric design, data-driv", "customer lifetime value"]
domain_expertise,reference_frameworks,array,Array of reference frameworks values,["platform strategy, user experience design, data-dr", "direct response marketing"]
domain_expertise,industry_knowledge,array,Array of industry knowledge values,["music industry, streaming technology, artist econo", "service businesses, fitness industry, education, c"]
